t,n,theoretical
0.000000,85.257431,204.370223
0.010000,129.592627,204.370223
0.020000,173.879690,204.370223
0.030000,218.118677,204.370223
0.040000,258.067960,204.370223
0.050000,282.193474,204.370223
0.060000,260.591578,204.370223
0.070000,277.609920,204.370223
0.080000,254.880441,204.370223
0.090000,271.985585,204.370223
0.100000,249.500668,204.370223
0.110000,266.833158,204.370223
0.120000,244.560917,204.370223
0.130000,262.103811,204.370223
0.140000,240.029334,204.370223
0.150000,257.768313,204.370223
0.160000,235.876965,204.370223
0.170000,253.798236,204.370223
0.180000,232.075984,204.370223
0.190000,250.166362,204.370223
0.200000,228.599861,204.370223
0.210000,246.846805,204.370223
0.220000,225.423455,204.370223
0.230000,243.815094,204.370223
0.240000,222.523072,204.370223
0.250000,241.048215,204.370223
0.260000,219.876488,204.370223
0.270000,238.524620,204.370223
0.280000,217.462938,204.370223
0.290000,236.224215,204.370223
0.300000,215.263090,204.370223
0.310000,234.128317,204.370223
0.320000,213.259000,204.370223
0.330000,232.219616,204.370223
0.340000,211.434055,204.370223
0.350000,230.482103,204.370223
0.360000,209.772908,204.370223
0.370000,228.901013,204.370223
0.380000,208.261411,204.370223
0.390000,227.462749,204.370223
0.400000,206.886544,204.370223
0.410000,226.154809,204.370223
0.420000,205.636339,204.370223
0.430000,224.965718,204.370223
0.440000,204.499813,204.370223
0.450000,223.884954,204.370223
0.460000,203.466897,204.370223
0.470000,222.902881,204.370223
0.480000,202.528370,204.370223
0.490000,222.010679,204.370223
0.500000,201.675796,204.370223
0.510000,221.200287,204.370223
0.520000,200.901459,204.370223
0.530000,220.464338,204.370223
0.540000,200.198314,204.370223
0.550000,219.796110,204.370223
0.560000,199.559926,204.370223
0.570000,219.189465,204.370223
0.580000,198.980426,204.370223
0.590000,218.638809,204.370223
0.600000,198.454460,204.370223
0.610000,218.139042,204.370223
0.620000,197.977149,204.370223
0.630000,217.685519,204.370223
0.640000,197.544049,204.370223
0.650000,217.274009,204.370223
0.660000,197.151110,204.370223
0.670000,216.900659,204.370223
0.680000,196.794648,204.370223
0.690000,216.561966,204.370223
0.700000,196.471311,204.370223
0.710000,216.254741,204.370223
0.720000,196.178047,204.370223
0.730000,215.976084,204.370223
0.740000,195.912083,204.370223
0.750000,215.723359,204.370223
0.760000,195.670898,204.370223
0.770000,215.494169,204.370223
0.780000,195.452198,204.370223
0.790000,215.286337,204.370223
0.800000,195.253902,204.370223
0.810000,215.097886,204.370223
0.820000,195.074118,204.370223
0.830000,214.927016,204.370223
0.840000,194.911127,204.370223
0.850000,214.772088,204.370223
0.860000,194.763369,204.370223
0.870000,214.631576,204.370223
0.880000,194.629428,204.370223
0.890000,214.504147,204.370223
0.900000,194.508018,204.370223
0.910000,214.388595,204.370223
0.920000,194.397971,204.370223
0.930000,214.283823,204.370223
0.940000,194.298228,204.370223
0.950000,214.188832,204.370223
0.960000,194.207827,204.370223
0.970000,214.102716,204.370223
0.980000,194.125897,204.370223
0.990000,214.024651,204.370223
